"weight";"lat";"lon"
"11";"34.046";"-118.529"
"11";"33.966";"-118.488"
"11";"33.916";"-118.348"
"11";"34.025";"-118.499"
"11";"34.175";"-118.488"
"11";"33.966";"-118.958"
"11";"33.766";"-118.289"
"11";"34.536";"-118.488"
"11";"34.476";"-118.449"
"11";"33.885";"-118.598"
"11";"34.056";"-118.408"
"11";"33.866";"-118.639"
"11";"34.355";"-118.499"
"11";"34.146";"-118.499"
"11";"34.286";"-118.419"
"11";"34.216";"-118.499"
"11";"34.166";"-118.579"
"11";"33.675";"-118.259"
"11";"33.846";"-118.619"
"11";"34.226";"-118.509"
"11";"33.955";"-118.429"
"11";"34.245";"-118.559"
"11";"34.275";"-118.488"
"11";"33.936";"-118.529"
"11";"34.156";"-118.458"
"11";"34.135";"-118.569"
"11";"33.946";"-118.589"
"11";"34.385";"-118.499"
"11";"33.675";"-118.279"
"11";"34.536";"-118.689"
"11";"34.525";"-118.689"
"11";"33.925";"-118.518"
"11";"34.196";"-118.399"
"11";"34.146";"-118.488"
"11";"34.135";"-118.479"
"11";"33.986";"-118.499"
"11";"33.966";"-118.458"
"11";"33.906";"-118.389"
"11";"34.086";"-118.369"
"11";"34.006";"-118.408"
"11";"33.986";"-118.749"
"11";"33.846";"-118.589"
"11";"34.565";"-118.509"
"11";"33.946";"-118.348"
"10";"33.955";"-118.949"
"10";"33.885";"-118.579"
"10";"33.846";"-118.609"
"10";"33.646";"-118.208"
"10";"34.346";"-118.649"
"10";"34.326";"-118.479"
"10";"33.855";"-118.639"
"10";"34.156";"-118.488"
"10";"34.476";"-118.458"
"10";"34.046";"-118.429"
"10";"33.696";"-118.309"
"10";"34.166";"-118.639"
"10";"34.166";"-118.488"
"10";"33.546";"-118.279"
"10";"34.146";"-118.569"
"10";"34.086";"-118.569"
"10";"33.995";"-118.499"
"10";"33.866";"-118.589"
"10";"34.126";"-118.479"
"10";"34.076";"-118.439"
"10";"34.056";"-118.469"
"10";"33.946";"-118.919"
"10";"33.846";"-118.598"
"10";"34.025";"-118.268"
"10";"34.156";"-118.449"
"10";"33.885";"-118.569"
"10";"34.056";"-118.479"
"10";"34.076";"-118.499"
"10";"33.876";"-118.589"
"10";"34.216";"-118.548"
"10";"34.156";"-118.429"
"10";"33.946";"-118.929"
"10";"33.876";"-118.348"
"10";"33.766";"-118.298"
"10";"34.105";"-118.419"
"10";"34.175";"-118.518"
"10";"33.946";"-118.899"
"10";"33.885";"-118.548"
"10";"33.826";"-118.139"
"10";"33.885";"-118.559"
"10";"33.565";"-118.199"
"10";"34.065";"-118.458"
"10";"33.976";"-118.408"
"10";"33.846";"-118.539"
"10";"34.226";"-118.499"
"10";"34.025";"-118.399"
"10";"33.686";"-118.259"
"10";"34.135";"-118.509"
"10";"33.896";"-118.559"
"10";"33.876";"-118.319"
"10";"34.135";"-118.458"
"10";"34.025";"-118.649"
"10";"33.976";"-118.488"
"10";"34.135";"-118.469"
"10";"34.046";"-118.419"
"10";"34.025";"-118.518"
"10";"33.906";"-118.348"
"10";"33.756";"-118.289"
"10";"34.166";"-118.509"
"10";"34.105";"-118.439"
"10";"33.876";"-118.359"
"10";"33.846";"-118.339"
"10";"33.556";"-118.249"
"10";"34.326";"-118.649"
"10";"34.046";"-118.509"
"10";"33.966";"-118.439"
"10";"34.495";"-119.109"
"10";"34.236";"-118.559"
